name,rate,votes,location,cuisines,approx_cost(for two people)
Sri Krishna Sagar,3.2/5,119,Banashankari,"North Indian, Chinese",400
Mylari Biryani Family Restaurant,3.7/5,73,Banashankari,"Biryani, Fast Food",400
1980s Games Cafe,3.4/5,58,Basavanagudi,"Cafe, Fast Food",400
Kadala Tarangaa,3.6/5,129,Banashankari,"Mangalorean, Seafood, North Indian",600
Namma Biryani,3.6/5,24,Banashankari,"Biryani, Chinese, North Indian",250
Nandhanu's Rasoi,3.0/5,175,Kumaraswamy Layout,"Chinese, North Indian",400
Hotel Pork Paradise,3.7/5,21,Mysore Road,South Indian,300
As On Fire,3.5/5,41,South Bangalore,"Pizza, Fast Food, BBQ",400
J K Fish Land,3.6/5,35,Jayanagar,"Seafood, Mangalorean",300
Curry Leaves,4.1/5,176,Basavanagudi,"Andhra, North Indian, Chinese",800
Lassi Shop,3.5/5,45,Banashankari,"Beverages, Ice Cream, Fast Food",300
Magic Meals,3.7/5,47,Jayanagar,"Fast Food, Desserts, Beverages",400
Desi Cream Junction,3.7/5,36,Jayanagar,"Chinese, North Indian, Pizza, Italian",650
Drunken Monkey,3.8/5,52,Kumaraswamy Layout,"Beverages, Fast Food",400
Ruchi's Corner,2.7/5,123,Banashankari,Fast Food,200
Tandoori Bytes,3.6/5,59,Kumaraswamy Layout,North Indian,700
Bangalore Donne Biriyani,3.2/5,4,Kumaraswamy Layout,"South Indian, Biryani",300
SGS Non Veg - Gundu Pulav,3.8/5,101,Banashankari,"Biryani, Fast Food",400
Keventers,3.7/5,54,Banashankari,"Desserts, Beverages, Ice Cream",400
Sree Sagar,,0,Banashankari,South Indian,200
Navi Food Point,3.6/5,22,Basavanagudi,Fast Food,200
Shawarma Inc,3.1/5,31,Banashankari,"Rolls, Lebanese",250
The Cafe Nuts and Bolts,3.0/5,29,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",500
AM WOW,3.4/5,6,Jayanagar,Beverages,100
Lalbagh Grand,3.0/5,22,Basavanagudi,"South Indian, North Indian, Chinese",250
Funjabi Curries,2.9/5,11,Banashankari,North Indian,500
Eat Repeat,3.9/5,101,Basavanagudi,South Indian,150
Salut,4.1/5,442,Jayanagar,"Continental, Finger Food, Seafood, Pizza","1,200"
Nammura Donne Biriyani,3.5/5,155,Basavanagudi,"Biryani, Fast Food",400
Lassi Stop,3.4/5,12,Banashankari,"Beverages, Fast Food, Juices",150
Dakshin Kitchen,3.6/5,15,Basavanagudi,South Indian,100
Sri Sai Cafe,3.5/5,10,Basavanagudi,South Indian,200
Sri Sai 99 Variety Dosa,3.8/5,25,Banashankari,South Indian,300
Utsav Restaurant,3.8/5,61,Banashankari,"North Indian, Chinese",300
Crunch and Munch,3.7/5,23,Uttarahalli,"Chinese, Street Food, Ice Cream",300
Food Geek,3.8/5,25,Basavanagudi,"Sandwich, Fast Food, Rolls",350
Sri Krishna Aramane,3.7/5,40,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Fast Food",200
Great Indian Rolls,3.3/5,4,Basavanagudi,Rolls,100
Chats Point,3.4/5,8,Basavanagudi,"Fast Food, Street Food",150
Food Point,3.5/5,32,Kumaraswamy Layout,"North Indian, Chinese",300
Swarga Ruchi,3.3/5,10,Basavanagudi,South Indian,200
Kolkata King,3.4/5,6,Basavanagudi,"Fast Food, Rolls",300
Sandwich Mama's And Frozen Monster,3.8/5,53,Jayanagar,"Ice Cream, Beverages, Fast Food",250
New Rajadhani Spicy,3.7/5,67,Kumaraswamy Layout,North Indian,700
Big Mishra Pedha,2.9/5,23,Jayanagar,Mithai,250
VEGeatz,3.4/5,19,Banashankari,"South Indian, North Indian",200
Foodizo,3.6/5,24,Banashankari,"Desserts, Fast Food, Continental",300
Food Springs,4.0/5,232,Jayanagar,"South Indian, Chinese",400
Chung's Chinese Corner,3.9/5,221,Jayanagar,Chinese,700
Eurasia Pasta and Barbeque by Little Italy,4.1/5,1063,Jayanagar,"Italian, Fast Food, Salad, BBQ","1,200"
Goli Vada Pav No. 1,3.7/5,93,Basavanagudi,Street Food,200
Ragoo's,3.9/5,233,Jayanagar,"Italian, Pizza, North Indian, Salad",800
Pure & Natural,3.9/5,211,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",500
Maiyas,4.0/5,1778,Jayanagar,"North Indian, South Indian, Fast Food, Juices",200
Sip n Dine,3.6/5,218,Vijay Nagar,"North Indian, Chinese, South Indian",800
Cafe Mondo,3.7/5,514,Basavanagudi,"Cafe, Italian, Beverages",600
Jalpaan,4.0/5,866,Jayanagar,"North Indian, Continental",900
Kataria's Pakwan,3.2/5,96,Kumaraswamy Layout,North Indian,400
Juicy Momos,3.5/5,80,Banashankari,"Tibetan, Momos",250
Amande Patisserie,4.0/5,73,Basavanagudi,"Bakery, French, Desserts",300
Anand Sweets and Savouries,3.9/5,84,Jayanagar,"Mithai, Street Food",400
Chicken Hunt,3.5/5,88,Banashankari,"South Indian, North Indian, Chinese, Biryani",350
Swadesh Tadka,3.5/5,179,Banashankari,"North Indian, Chinese, Beverages",600
Cane-O-La,3.8/5,61,Basavanagudi,Juices,100
New Biryani Mane,3.7/5,128,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",450
Upahara Darshini,3.8/5,339,Jayanagar,"South Indian, North Indian, Chinese",400
Karnataka Bhel House,4.1/5,449,Basavanagudi,Street Food,100
Sreeraj Lassi Bar,4.1/5,210,Jayanagar,Beverages,150
Juice Junction Food Court,3.7/5,57,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",200
Bunt's Biriyani Palace,3.0/5,213,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",400
Chai Point,3.2/5,208,Jayanagar,"Tea, Beverages, Fast Food",250
Janahaar,3.8/5,70,Banashankari,South Indian,100
Redberrys,4.0/5,219,Basavanagudi,"Cafe, Italian",600
Utsav,3.7/5,59,Banashankari,"North Indian, Street Food",200
Meat And Eat,3.1/5,10,Banashankari,"Fast Food, Burger",500
Snacks Bite,3.0/5,9,Kumaraswamy Layout,"Fast Food, Momos",400
The Spice Saga,3.7/5,124,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",750
Dakshin Cafe,3.7/5,19,Kumaraswamy Layout,South Indian,100
Mr. Parathewala,,0,Jayanagar,North Indian,300
Kaulige Millet Corner,3.3/5,4,Basavanagudi,"Healthy Food, South Indian",150
Ifruit Ice Cream,3.3/5,4,Kumaraswamy Layout,"Desserts, Ice Cream",150
Havmor,3.8/5,21,Basavanagudi,"Ice Cream, Desserts",200
Grand Food,3.4/5,8,Banashankari,"South Indian, Bakery, Chinese",250
Dining Hut,3.5/5,10,Kumaraswamy Layout,"North Indian, Chinese, South Indian",400
7 Hills Garden Restaurant,,0,Banashankari,"North Indian, Mughlai, Chinese",400
Desi Swaad,3.5/5,10,Kumaraswamy Layout,North Indian,400
Yummy Momos,3.2/5,4,Kumaraswamy Layout,"Momos, Tibetan, Chinese",200
Masale Daan,3.1/5,4,Banashankari,North Indian,350
Sri Manjunatha Tandoori Corner,,0,Uttarahalli,Mughlai,300
Grow Fit,3.6/5,16,JP Nagar,"Healthy Food, North Indian, Thai",500
The House Of Vadapav,,0,Banashankari,,150
Cutcakes,,0,Kumaraswamy Layout,Bakery,300
Lassi Spot,3.3/5,4,Kumaraswamy Layout,,100
Sandwich Hub,3.4/5,12,Jayanagar,"Fast Food, Sandwich",300
Healthy Bakes 'n' Brew,,0,Jayanagar,Bakery,150
Udupi Sri Krishna Cafe,3.9/5,14,Jayanagar,"North Indian, South Indian",600
Starlite Bakery & Fastfood,3.7/5,0,Jayanagar,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",300
Veganbreak24x7,2.8/5,5,City Market,"South Indian, Chinese, Continental, Biryani",199
Aadhya Hotel,3.3/5,5,Basavanagudi,"South Indian, North Indian, Chinese, Biryani",800
Dodda Mane Baaduta,3.5/5,15,Banashankari,"North Indian, South Indian, Chinese, Biryani",250
Swadd Kitchen,3.4/5,4,Basavanagudi,"North Indian, Fast Food",500
Nandini Milk Parlour and Restaurant,,0,Mysore Road,"Sandwich, Rolls, South Indian, Ice Cream",250
Happy Chopsticks,3.6/5,17,Basavanagudi,"Chinese, Fast Food",300
Sai Super Sandwich,NEW,0,Banashankari,"Sandwich, Beverages",200
Right Pizza,NEW,0,Basavanagudi,Pizza,300
Udupi Upachar,3.3/5,6,Banashankari,"South Indian, North Indian",500
Davanagere Benne Dose Hut,3.4/5,10,Banashankari,South Indian,100
The Sip Shop,NEW,0,Basavanagudi,"Pizza, Beverages, Ice Cream",200
Jalsa,4.1/5,775,Banashankari,"North Indian, Mughlai, Chinese",800
Subz,4.2/5,2022,Jayanagar,"North Indian, South Indian","1,000"
Rajastani Rasoi,,0,Basavanagudi,North Indian,100
Sri Banashankari Upahara,NEW,0,Kumaraswamy Layout,"North Indian, South Indian",150
Cafe Shuffle,4.2/5,150,Banashankari,"Cafe, Italian, Continental",600
Mint and Mustard,4.0/5,232,Basavanagudi,"North Indian, Chinese",750
Chinese Square,3.9/5,38,Basavanagudi,Chinese,200
Hyderabad Express,NEW,0,Banashankari,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",300
Punjabi Raswada,3.5/5,431,Jayanagar,North Indian,800
Vinny's,4.2/5,2115,Banashankari,"Pizza, Italian, Continental, Desserts",800
Chetty's Corner,3.4/5,30,Uttarahalli,"Fast Food, Burger, Pizza",200
Kapoor's Cafe,4.2/5,150,Jayanagar,North Indian,800
Donne Biryani & Kabab Corner,3.3/5,12,Kumaraswamy Layout,"Chinese, Biryani",200
Sukh Sagar,3.8/5,155,Jayanagar,"South Indian, North Indian, Chinese, Street Food",450
S M V Snacks Corner,3.7/5,33,Basavanagudi,Fast Food,200
Andhra Ruchulu,4.1/5,666,Jayanagar,"Andhra, Biryani, North Indian, Chinese","1,000"
The Samosa Co,,0,Jayanagar,"Fast Food, Mithai",200
Steaming Mugs,3.9/5,240,Basavanagudi,Cafe,700
San Churro Cafe,3.8/5,918,Banashankari,"Cafe, Mexican, Italian",800
Rajathadri Food Fort,4.0/5,465,Jayanagar,"South Indian, North Indian, Chinese, Street Food",600
Brew Meister,4.1/5,970,Jayanagar,"North Indian, Continental, Finger Food, American, Asian","1,500"
Rasoi,3.3/5,128,Banashankari,"North Indian, Chinese",300
Mr. Singh Da Dhaba,3.6/5,241,Kumaraswamy Layout,"North Indian, Chinese",300
Kababs N Biryani,3.4/5,22,Banashankari,South Indian,200
Ayodhya Upachar,4.3/5,734,Banashankari,"South Indian, North Indian, Chinese, Street Food",200
Biriyani Mane,3.8/5,130,Jayanagar,"North Indian, Biryani",400
Cafe Ajfan,4.2/5,261,Jayanagar,"Cafe, Continental, Beverages",700
Brundhavana Food Point,4.0/5,191,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",300
SLV Corner Restaurant,4.1/5,364,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",550
Biryani Royals Garden,NEW,0,Kumaraswamy Layout,"North Indian, Biryani, Mughlai",500
Hotel New Karavali,3.8/5,133,Banashankari,"Mangalorean, South Indian, North Indian",300
The Krishna Grand,3.9/5,888,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",750
360 Atoms Restaurant And Cafe,3.1/5,13,Banashankari,"Cafe, Chinese, Continental, Italian",400
Roti Ghar,3.9/5,750,Basavanagudi,"North Indian, Chinese, South Indian",500
The Coffee Shack,4.2/5,164,Banashankari,"Cafe, Chinese, Continental, Italian",500
Multi Snacky Hub,NEW,0,Basavanagudi,Fast Food,200
Kettle & Kegs,3.2/5,6,Banashankari,"Tea, Beverages",200
Baisakhi,3.8/5,527,Basavanagudi,North Indian,500
Corner House Ice Cream,4.3/5,345,Banashankari,"Ice Cream, Desserts",400
Poonam Sweets,4.4/5,356,Banashankari,Mithai,150
XO Belgian Waffle,3.7/5,17,Banashankari,"Desserts, Beverages",400
Old Mumbai Ice Cream,3.9/5,38,Banashankari,Ice Cream,150
Cake of the Day,3.7/5,78,Banashankari,Bakery,150
Amma's Pastries,3.8/5,60,Banashankari,Bakery,400
Kanti Sweets,4.0/5,115,Banashankari,"Mithai, Street Food",400
Sugar Rush,3.8/5,39,Banashankari,"Bakery, Desserts",300
Polar Bear,3.9/5,116,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",400
San Churro Cafe,3.8/5,918,Banashankari,"Cafe, Mexican, Italian",800
Anand Sweets and Savouries,3.7/5,46,Banashankari,"Mithai, Street Food",400
Ibaco,3.9/5,41,Banashankari,Desserts,300
Kirthi's Biryani,3.8/5,144,Banashankari,"Chinese, Cafe, Italian",700
The Lassi and Juice Park,3.8/5,28,Banashankari,"Juices, Desserts",150
Stoned Monkey,4.3/5,860,Banashankari,"Desserts, Ice Cream",500
Parimala Sweets,3.5/5,14,Banashankari,"Mithai, Street Food",200
The Big O Bakes,4.0/5,66,Banashankari,"Bakery, Desserts",300
Shree Mahalakshmi Sweets,3.2/5,8,Banashankari,"Mithai, Street Food",100
Keventers,3.7/5,54,Banashankari,"Desserts, Beverages, Ice Cream",400
Dessert Rose,3.5/5,7,Banashankari,Desserts,500
Thanco's Natural Ice Creams,3.2/5,9,Banashankari,Ice Cream,300
Corner Stone,3.6/5,42,Banashankari,"Beverages, Juices, Desserts, Italian",300
Kaggis,3.8/5,64,Banashankari,"Fast Food, Bakery",250
Cocoa Bakes,3.6/5,14,Banashankari,"Bakery, Desserts",350
Floured-Baked With Love,3.8/5,45,Banashankari,Bakery,400
CAFE NOVA,3.2/5,11,Banashankari,"Cafe, Bakery",600
Cakes & Slices,3.5/5,13,Banashankari,"Bakery, Desserts",300
Arun Ice Cream,3.4/5,7,Banashankari,"Ice Cream, Desserts",150
Just Bake,3.4/5,8,Banashankari,"Bakery, Desserts",400
Dharwad Line Bazaar Mishra Pedha,,0,Banashankari,Mithai,150
Cake Bite,,0,Banashankari,Bakery,300
Kwality Wall's Swirl's Happiness Station,2.9/5,25,Banashankari,"Ice Cream, Desserts",200
Melting Melodies,NEW,0,Banashankari,Bakery,300
Sweet N Swirl,3.2/5,17,Banashankari,"Desserts, Ice Cream",150
Me And My Cake,,0,Banashankari,"Bakery, Desserts",500
Mukesh Sweet Centre,,0,Banashankari,Mithai,300
Darkolates,,0,Banashankari,Desserts,200
Sai Super Sandwich,NEW,0,Banashankari,"Sandwich, Beverages",200
Sweet Truth,3.9/5,35,Banashankari,"Bakery, Desserts",500
Waffle-A-Go Go,3.9/5,70,Banashankari,"Fast Food, Desserts, Ice Cream",400
Gopi Ice Creams,NEW,0,Banashankari,Ice Cream,100
Sri Venkateshwara Sweet Meat Stall,4.0/5,98,Basavanagudi,"Mithai, Street Food, North Indian, Chinese",400
Baskin Robbins,3.7/5,25,Basavanagudi,"Ice Cream, Desserts",250
Redberrys,4.0/5,219,Basavanagudi,"Cafe, Italian",600
Amande Patisserie,4.0/5,73,Basavanagudi,"Bakery, French, Desserts",300
Srinivasa Brahmins Bakery,3.6/5,16,Basavanagudi,"Bakery, Street Food",150
Jain Bakes,3.6/5,8,Basavanagudi,"Bakery, Desserts",250
Cake Ghar,3.8/5,15,Basavanagudi,Bakery,400
KC Das - Sweet Spot,3.6/5,46,Basavanagudi,"Mithai, Street Food",200
Sugar Stars Co,,0,Basavanagudi,"Bakery, Desserts",300
Diabetics Dezire Sugarless Sweets and Bakes,3.3/5,13,Basavanagudi,"Desserts, Mithai",300
Cake Yard,3.3/5,9,Basavanagudi,Desserts,250
Iceberg Icecreams,4.0/5,43,Basavanagudi,"Desserts, Ice Cream",250
A2B Veg - Adyar Ananda Bhavan,2.7/5,97,Basavanagudi,"South Indian, North Indian, Chinese, Street Food",400
Bombay Kulfis,,0,JP Nagar,Ice Cream,200
Sri Krishna Sweets,3.7/5,22,Basavanagudi,"Mithai, Desserts",250
Cake Art,3.5/5,15,Basavanagudi,Bakery,400
Cakecraft,,0,Jayanagar,Desserts,350
Asha Sweets Centre,3.6/5,27,Basavanagudi,Fast Food,250
My Tea House,NEW,0,Banashankari,"Continental, Asian, North Indian, Tea",500
The Krishna Grand,3.9/5,888,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",750
Sea Spice by 7 Star,4.0/5,349,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab","1,200"
Mini Punjabi Dhaba,4.2/5,287,Banashankari,North Indian,350
Onesta,4.6/5,2556,Banashankari,"Pizza, Cafe, Italian",600
Wamama,4.2/5,354,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800
Jalsa,4.1/5,775,Banashankari,"North Indian, Mughlai, Chinese",800
Vinny's,4.2/5,2115,Banashankari,"Pizza, Italian, Continental, Desserts",800
Jcubez,3.8/5,977,Banashankari,Finger Food,"1,300"
Gustoes Beer House,4.1/5,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak","1,200"
Penthouse Cafe,4.0/5,324,Banashankari,"Cafe, Italian, Continental",700
Spice Elephant,4.1/5,787,Banashankari,"Chinese, North Indian, Thai",800
Smacznego,4.2/5,504,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1/5,402,Banashankari,Cafe,500
Cafe Shuffle,4.2/5,150,Banashankari,"Cafe, Italian, Continental",600
The Coffee Shack,4.2/5,164,Banashankari,"Cafe, Chinese, Continental, Italian",500
Peppy Peppers,4.2/5,244,Banashankari,"Italian, North Indian, Mexican",800
Anna Kuteera,4.0/5,771,Banashankari,"South Indian, North Indian, Chinese",450
Szechuan Dragon,4.2/5,1647,Banashankari,"Chinese, Thai, Momos",600
1947,4.0/5,808,Banashankari,"North Indian, Chinese",850
Caf-Eleven,4.0/5,424,Banashankari,"Cafe, Continental",450
Thamboola,3.9/5,135,Banashankari,"North Indian, Chinese, Continental",800
Ferment,NEW,0,Banashankari,Continental,"1,000"
Havyaka Mess,3.9/5,28,Banashankari,South Indian,300
San Churro Cafe,3.8/5,918,Banashankari,"Cafe, Mexican, Italian",800
Cafe Vivacity,3.8/5,90,Banashankari,Cafe,650
Chung Wah,3.9/5,519,Banashankari,"Chinese, Momos, Thai, Vietnamese",900
Vietnamese Kitchen,3.6/5,105,Banashankari,Vietnamese,700
Blue Wings Bar & Restaurant,3.7/5,43,Banashankari,"North Indian, Chinese",700
Anand Sweets and Savouries,3.7/5,46,Banashankari,"Mithai, Street Food",400
Catch-up-ino,3.9/5,133,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",800
Kirthi's Biryani,3.8/5,144,Banashankari,"Chinese, Cafe, Italian",700
T3H Cafe,3.9/5,93,Banashankari,"Cafe, Italian, American",300
Srikrishna Bhavan,3.8/5,42,Banashankari,"South Indian, North Indian, Chinese",300
Dal Tadkaa,2.5/5,247,Banashankari,North Indian,500
360 Atoms Restaurant And Cafe,3.1/5,13,Banashankari,"Cafe, Chinese, Continental, Italian",400
New Imperial Restaurant,3.7/5,39,Banashankari,"North Indian, Chinese",450
The Vintage Cafe,3.0/5,62,Banashankari,"Cafe, French, North Indian",400
Green Gardenia,3.8/5,160,Banashankari,"North Indian, Chinese",700
Parimala Sweets,3.5/5,14,Banashankari,"Mithai, Street Food",200
Vaishali Deluxe,3.8/5,42,Banashankari,"North Indian, Chinese",700
Paradise Premium,3.1/5,119,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700
Kadala Tarangaa,3.6/5,129,Banashankari,"Mangalorean, Seafood, North Indian",600
My Tea House,NEW,0,Banashankari,"Continental, Asian, North Indian, Tea",500
Vi Ra's Bar and Restaurant,3.3/5,62,Banashankari,"South Indian, North Indian, Chinese",800
Annapooraneshwari Mess,,0,Banashankari,South Indian,200
Sri Yaksha Shiv Sagar,3.6/5,24,Banashankari,"North Indian, Chinese",600
7 Hills Restaurant,,0,Banashankari,"North Indian, South Indian",500
Nandhini Deluxe,2.6/5,283,Banashankari,North Indian,600
Corner Stone,3.6/5,42,Banashankari,"Beverages, Juices, Desserts, Italian",300
Karavali Fish Center,3.4/5,10,Banashankari,"Mangalorean, Chinese",300
Ayda Persian Kitchen,3.7/5,39,Banashankari,"North Indian, Iranian",950
J Spice,3.8/5,59,Banashankari,"North Indian, Chinese",750
Swadesh Tadka,3.5/5,179,Banashankari,"North Indian, Chinese, Beverages",600
Iyer's Tiffin Centre,3.8/5,62,Banashankari,"South Indian, Chinese",150
Kydz Adda,3.4/5,6,Banashankari,Continental,500
K27 - The Pub,3.1/5,30,Banashankari,"Chinese, North Indian","1,000"
Kotian Karavali Restaurant,3.5/5,10,Banashankari,"South Indian, Biryani",300
Food Box Cafe,3.6/5,36,Banashankari,"Mughlai, North Indian, Chinese",500
Hide Out Cafe,3.7/5,31,Banashankari,Cafe,300
Linnet Bar & Restaurant,,0,Banashankari,"Fast Food, Finger Food",500
CAFE NOVA,3.2/5,11,Banashankari,"Cafe, Bakery",600
Darbar,3.0/5,98,Banashankari,"North Indian, Chinese",800
Sri Ganesh Juice and Chats,3.5/5,18,Banashankari,"Juices, Street Food",150
Manifest Cafe,3.5/5,10,Banashankari,"South Indian, North Indian, Chinese",500
Beijing Bites,2.7/5,128,Banashankari,"Chinese, Thai",850
Karavali Lunch Home,,0,Banashankari,"South Indian, North Indian, Seafood, Mangalorean",400
The Pizzeria,2.8/5,45,Banashankari,"Pizza, Italian, Salad",800
Sri Krishna Sagar,3.2/5,119,Banashankari,"North Indian, Chinese",400
Lassi Stop,3.4/5,12,Banashankari,"Beverages, Fast Food, Juices",150
Banashankari Nati Style,,0,Banashankari,"Biryani, Chinese, South Indian, North Indian",350
Sea Green Cafe,3.3/5,4,Banashankari,"Cafe, Fast Food, Beverages",500
Cafe Coffee Day,,0,Banashankari,"Cafe, Fast Food",900
SLN Bar and Restaurant,,0,Banashankari,"North Indian, Chinese",700
Kaumudis Juoice,,0,Banashankari,"Beverages, Fast Food, Juices",150
Parijatha Paradise,NEW,0,Banashankari,"South Indian, North Indian, Fast Food, Chinese, Street Food",500
As On Fire,3.5/5,41,South Bangalore,"Pizza, Fast Food, BBQ",400
Pizza Hut,3.7/5,405,Banashankari,"Pizza, Fast Food",750
New Prashanth Hotel,3.9/5,388,Banashankari,"Biryani, North Indian, Seafood, Andhra",650
Taaza Thindi,4.7/5,651,Banashankari,South Indian,100
Hyderabad Express,NEW,0,Banashankari,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",300
Ayodhya Upachar,4.3/5,734,Banashankari,"South Indian, North Indian, Chinese, Street Food",200
Petoo,3.7/5,21,Banashankari,North Indian,450
Roving Feast,4.0/5,1047,Banashankari,"Italian, Continental, Fast Food, Chinese, Momos",450
KFC,3.8/5,505,Banashankari,"Burger, Fast Food",450
Five Star Chicken,3.6/5,55,Banashankari,"Fast Food, Burger",200
Gama Gama,3.9/5,264,Banashankari,South Indian,200
Hotel New Karavali,3.8/5,133,Banashankari,"Mangalorean, South Indian, North Indian",300
Kaapi Corner,NEW,0,Banashankari,South Indian,100
McDonald's,3.9/5,286,Banashankari,"Burger, Fast Food",500
Sri Laxmi Venkateshwara Coffee Bar,4.4/5,343,Banashankari,South Indian,100
Bhattara Bhojana,3.6/5,66,Banashankari,South Indian,150
Davanagere Benne Dose Hut,3.4/5,10,Banashankari,South Indian,100
Utsav Restaurant,3.8/5,61,Banashankari,"North Indian, Chinese",300
Messy Bowl,3.8/5,70,Banashankari,"Fast Food, Beverages",500
Devanna Dum Biriyani Centre,3.6/5,28,Banashankari,"Biryani, South Indian",300
Janahaar,3.8/5,70,Banashankari,South Indian,100
Stop 'N' Joy,3.8/5,28,Banashankari,Fast Food,150
Dodda Mane Baaduta,3.5/5,15,Banashankari,"North Indian, South Indian, Chinese, Biryani",250
Chickpet Donne Biryani House,3.8/5,131,Banashankari,Biryani,250
Brahmin Cafe,3.8/5,19,Banashankari,South Indian,150
Chumma Delicious,3.7/5,237,Banashankari,"South Indian, Fast Food",200
Udupi Upachar,3.3/5,6,Banashankari,"South Indian, North Indian",500
Bengaluru Coffee House,4.1/5,201,Banashankari,"South Indian, North Indian, Chinese, Street Food",300
